User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,Year,Date
43,Standard,12,2022,27-06-23,United Kingdom,36,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
44,Standard,12,2022,26-06-23,Australia,29,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
45,Basic,10,2023,28-06-23,Germany,43,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002023
46,Premium,15,2022,27-06-23,France,34,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
47,Basic,10,2022,25-06-23,Brazil,39,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
48,Standard,12,2021,24-06-23,Mexico,32,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002021
49,Premium,15,2022,23-06-23,Spain,28,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
50,Basic,10,2023,22-06-23,Italy,45,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002023
51,Premium,15,2023,22-06-23,United States,30,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002023
52,Basic,10,2022,28-06-23,Canada,37,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
53,Standard,12,2022,27-06-23,United Kingdom,41,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
54,Standard,12,2022,26-06-23,Australia,29,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
55,Basic,10,2023,28-06-23,Germany,39,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002023
56,Premium,15,2022,27-06-23,France,36,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
57,Basic,10,2022,25-06-23,Brazil,46,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
58,Standard,12,2021,24-06-23,Mexico,34,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002021
59,Premium,15,2022,23-06-23,Spain,27,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
60,Basic,10,2023,22-06-23,Italy,42,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002023
61,Premium,15,2023,22-06-23,United States,28,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002023
62,Basic,10,2022,28-06-23,Canada,37,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
63,Standard,12,2022,27-06-23,United Kingdom,41,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
64,Standard,12,2022,26-06-23,Australia,29,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
65,Basic,10,2023,28-06-23,Germany,40,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002023
66,Premium,15,2022,27-06-23,France,29,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
67,Basic,10,2022,25-06-23,Brazil,47,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
68,Standard,12,2021,24-06-23,Mexico,33,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002021
69,Premium,15,2022,23-06-23,Spain,36,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
70,Basic,10,2023,22-06-23,Italy,41,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002023
71,Basic,10,2022,20-06-23,United States,27,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
72,Basic,10,2022,22-06-23,Canada,31,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
73,Standard,12,2022,26-06-23,United Kingdom,28,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
74,Premium,13,2022,25-06-23,Australia,41,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
75,Basic,13,2022,26-06-23,Germany,28,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
76,Basic,13,2021,26-06-23,France,51,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002021
77,Premium,15,2022,23-06-23,Brazil,45,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
78,Standard,15,2022,28-06-23,Mexico,49,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
79,Standard,15,2022,25-06-23,Spain,43,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
80,Basic,12,2022,22-06-23,Italy,43,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
81,Premium,10,2023,24-06-23,United States,37,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002023
82,Standard,12,2022,28-06-23,Canada,35,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
83,Basic,10,2022,26-06-23,United Kingdom,46,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
84,Standard,12,2023,25-06-23,Australia,32,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002023
85,Premium,10,2023,27-06-23,Germany,37,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002023
86,Basic,11,2022,25-06-23,France,29,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
87,Premium,15,2021,23-06-23,Brazil,45,Male,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002021
88,Standard,12,2022,28-06-23,Mexico,47,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
89,Basic,15,2022,26-06-23,Spain,39,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
90,Standard,13,2023,23-06-23,Italy,49,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002023
91,Premium,11,2022,23-06-23,United States,39,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
92,Basic,14,2022,28-06-23,Canada,39,Male,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
93,Standard,12,2022,26-06-23,United Kingdom,35,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
94,Premium,12,2022,25-06-23,Australia,44,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
95,Basic,11,2022,25-06-23,Germany,34,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
96,Premium,14,2022,24-06-23,France,32,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
97,Basic,10,2022,24-06-23,Brazil,29,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
98,Standard,13,2022,28-06-23,Mexico,31,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
99,Standard,12,2023,24-06-23,Spain,29,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002023
100,Basic,12,2023,25-06-23,Italy,35,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002023
101,Premium,11,2022,24-06-23,United States,46,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
102,Basic,12,2022,28-06-23,Canada,31,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
103,Standard,13,2022,26-06-23,United Kingdom,36,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
104,Premium,10,2022,25-06-23,Australia,38,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
105,Basic,11,2022,27-06-23,Germany,46,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
106,Premium,10,2022,24-06-23,France,49,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
107,Basic,14,2022,24-06-23,Brazil,29,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
108,Standard,12,2022,25-06-23,Mexico,27,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
109,Standard,13,2023,25-06-23,Spain,35,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002023
110,Basic,13,2023,24-06-23,Italy,37,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002023
111,Premium,14,2022,27-06-23,United States,40,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
112,Basic,10,2022,28-06-23,Canada,33,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
113,Standard,15,2022,26-06-23,United Kingdom,37,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
114,Premium,10,2022,25-06-23,Australia,48,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
115,Basic,11,2022,25-06-23,Germany,50,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
116,Premium,14,2022,23-06-23,France,45,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
117,Basic,15,2021,23-06-23,Brazil,40,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002021
118,Standard,12,2022,27-06-23,Mexico,33,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
119,Standard,11,2022,25-06-23,Spain,44,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
120,Basic,10,2022,25-06-23,Italy,30,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
121,Premium,15,2022,24-06-23,United States,27,Male,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
122,Basic,11,2022,28-06-23,Canada,51,Male,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
123,Standard,13,2022,26-06-23,United Kingdom,49,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
124,Premium,15,2022,25-06-23,Australia,43,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
125,Basic,12,2022,24-06-23,Germany,42,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
126,Premium,13,2022,23-06-23,France,45,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
127,Basic,10,2021,23-06-23,Brazil,36,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002021
128,Standard,12,2022,27-06-23,Mexico,48,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
129,Standard,13,2022,23-06-23,Spain,38,Male,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
130,Basic,14,2023,23-06-23,Italy,43,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002023
131,Premium,15,2022,23-06-23,United States,47,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
132,Basic,15,2022,28-06-23,Canada,48,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
133,Standard,13,2022,26-06-23,United Kingdom,47,Male,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
134,Premium,15,2022,25-06-23,Australia,32,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
135,Basic,13,2022,26-06-23,Germany,47,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
136,Premium,12,2022,26-06-23,France,41,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
137,Basic,12,2022,22-06-23,Brazil,49,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
138,Standard,15,2022,23-06-23,Mexico,28,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
139,Standard,13,2023,23-06-23,Spain,40,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002023
140,Basic,12,2022,23-06-23,Italy,43,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
141,Premium,12,2022,27-06-23,United States,42,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
142,Basic,14,2022,22-06-23,Canada,28,Male,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
143,Standard,14,2022,24-06-23,United Kingdom,30,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
144,Premium,10,2022,26-06-23,Australia,33,Male,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
145,Basic,11,2022,26-06-23,Germany,35,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
146,Basic,10,2022,25-06-23,France,38,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
147,Basic,12,2022,24-06-23,Brazil,49,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
148,Standard,15,2022,28-06-23,Mexico,39,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
149,Premium,13,2022,27-06-23,Spain,46,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
150,Basic,10,2022,23-06-23,Italy,47,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
151,Basic,15,2022,25-06-23,United States,30,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
152,Premium,14,2022,27-06-23,Canada,33,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
153,Standard,11,2022,24-06-23,United Kingdom,47,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
154,Standard,11,2023,27-06-23,Australia,27,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002023
155,Basic,14,2022,27-06-23,Germany,28,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
156,Premium,15,2022,25-06-23,France,47,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
157,Standard,14,2022,24-06-23,Brazil,30,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
158,Basic,13,2022,28-06-23,Mexico,47,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
159,Standard,10,2022,26-06-23,Spain,51,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
160,Premium,15,2022,25-06-23,Italy,39,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
161,Basic,10,2022,24-06-23,United States,45,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
162,Premium,15,2022,25-06-23,Canada,31,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
163,Standard,11,2022,26-06-23,United Kingdom,29,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
164,Basic,11,2022,26-06-23,Australia,42,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
165,Standard,14,2022,25-06-23,Germany,49,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
166,Premium,13,2022,26-06-23,France,42,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
167,Basic,13,2022,24-06-23,Brazil,29,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
168,Standard,10,2022,28-06-23,Mexico,29,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
169,Premium,12,2023,26-06-23,Spain,49,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002023
170,Basic,14,2023,25-06-23,Italy,32,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002023
171,Premium,11,2022,24-06-23,United States,35,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
172,Basic,12,2022,26-06-23,Canada,39,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
173,Standard,15,2022,25-06-23,United Kingdom,40,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
174,Standard,14,2022,25-06-23,Australia,39,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
175,Basic,10,2022,26-06-23,Germany,47,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
176,Premium,13,2022,25-06-23,France,37,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
177,Basic,15,2022,26-06-23,Brazil,27,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
178,Standard,13,2022,26-06-23,Mexico,49,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
179,Premium,10,2022,26-06-23,Spain,30,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
180,Basic,14,2022,25-06-23,Italy,36,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
181,Premium,15,2022,27-06-23,United States,33,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
182,Basic,13,2022,25-06-23,Canada,30,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
183,Standard,15,2022,26-06-23,United Kingdom,36,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
184,Standard,13,2022,25-06-23,Australia,28,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
185,Basic,11,2022,25-06-23,Germany,47,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
186,Premium,12,2022,25-06-23,France,33,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
187,Basic,13,2022,24-06-23,Brazil,49,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
188,Standard,15,2022,27-06-23,Mexico,44,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
189,Premium,13,2022,26-06-23,Spain,47,Male,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
190,Basic,11,2022,26-06-23,Italy,37,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
191,Premium,10,2022,25-06-23,United States,46,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
192,Basic,14,2022,27-06-23,Canada,50,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
193,Standard,11,2022,25-06-23,United Kingdom,50,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
194,Standard,14,2022,27-06-23,Australia,37,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
195,Basic,11,2022,24-06-23,Germany,50,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
196,Premium,13,2022,24-06-23,France,45,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
197,Basic,14,2022,23-06-23,Brazil,45,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
198,Standard,10,2022,27-06-23,Mexico,49,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
199,Premium,14,2022,25-06-23,Spain,39,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
200,Basic,11,2022,25-06-23,Italy,45,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
201,Premium,11,2022,27-06-23,United States,49,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
202,Basic,12,2022,27-06-23,Canada,31,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
203,Standard,13,2022,24-06-23,United Kingdom,42,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
204,Standard,12,2022,24-06-23,Australia,37,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
205,Basic,12,2022,25-06-23,Germany,30,Male,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
206,Premium,11,2022,25-06-23,France,40,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
207,Basic,15,2022,24-06-23,Brazil,45,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
208,Standard,15,2023,23-06-23,Mexico,36,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002023
209,Premium,11,2022,24-06-23,Spain,41,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
210,Basic,14,2022,26-06-23,Italy,49,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
211,Premium,15,2022,27-06-23,United States,40,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
212,Basic,11,2022,26-06-23,Canada,36,Male,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
213,Standard,12,2022,24-06-23,United Kingdom,49,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
214,Standard,13,2022,28-06-23,Australia,43,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
215,Basic,13,2022,27-06-23,Germany,50,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
216,Premium,14,2022,24-06-23,France,51,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
217,Basic,15,2022,25-06-23,Brazil,44,Male,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
218,Standard,12,2022,28-06-23,Mexico,27,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
219,Premium,12,2022,25-06-23,Spain,46,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
220,Basic,12,2022,27-06-23,Italy,29,Male,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
221,Basic,12,2022,25-06-23,United States,47,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
222,Basic,10,2022,26-06-23,Canada,48,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
223,Standard,12,2023,25-06-23,United Kingdom,34,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002023
224,Premium,15,2022,29-06-23,Australia,40,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
225,Basic,14,2022,27-06-23,Germany,48,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
226,Basic,10,2022,26-06-23,France,35,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
227,Premium,12,2022,24-06-23,Brazil,51,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
228,Standard,10,2022,27-06-23,Mexico,39,Male,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
229,Standard,13,2022,27-06-23,Spain,29,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
230,Basic,12,2022,26-06-23,Italy,51,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
231,Premium,11,2022,24-06-23,United States,43,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
232,Standard,11,2022,27-06-23,Canada,28,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
233,Basic,15,2022,26-06-23,United Kingdom,50,Female,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
234,Standard,14,2022,27-06-23,Australia,44,Female,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
235,Premium,11,2022,25-06-23,Germany,50,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
236,Basic,11,2022,26-06-23,France,39,Female,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
237,Premium,13,2022,25-06-23,Brazil,46,Female,Tablet,1 Month,1970,1970-01-01 00:00:00.000002022
238,Standard,15,2022,28-06-23,Mexico,48,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
239,Basic,15,2022,26-06-23,Spain,38,Male,Smart TV,1 Month,1970,1970-01-01 00:00:00.000002022
240,Standard,13,2022,26-06-23,Italy,38,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
241,Premium,13,2022,27-06-23,United States,47,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
242,Basic,12,2022,26-06-23,Canada,37,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
243,Standard,11,2022,27-06-23,United Kingdom,33,Male,Laptop,1 Month,1970,1970-01-01 00:00:00.000002022
244,Premium,15,2022,26-06-23,Australia,28,Male,Smartphone,1 Month,1970,1970-01-01 00:00:00.000002022
